device,method,config,power,batch,0,1,2,3,4,5,6,7,8,9
msp432,HAWAII,mnist,0,2,0,0,0,0,0,0,0,0,0,0
msp432,HAWAII,mnist,0,4,0,0,0,0,0,0,0,0,0,0
msp432,Stateful,mnist,0,1,0,0,0,0,0,0,0,0,0,0
msp432,Stateful,mnist,0,2,0,0,0,0,0,0,0,0,0,0
msp432,Stateful,mnist,0,4,0,0,0,0,0,0,0,0,0,0
msp432,Baseline,cifar10,0,0,6.443,6.443,6.443,6.443,6.442,6.443,6.443,6.443,6.443,6.443
msp432,JAPARI,cifar10,0,1,9.986,9.981,9.986,9.981,9.986,9.981,9.986,9.981,9.986,9.983
msp432,JAPARI,cifar10,0,2,0,0,0,0,0,0,0,0,0,0
msp432,JAPARI,cifar10,0,4,0,0,0,0,0,0,0,0,0,0
msp432,HAWAII,cifar10,0,1,32.828,32.828,32.828,32.828,32.828,32.827,32.828,32.828,32.828,32.827
msp432,HAWAII,cifar10,0,2,0,0,0,0,0,0,0,0,0,0
msp432,HAWAII,cifar10,0,4,0,0,0,0,0,0,0,0,0,0
msp432,Stateful,cifar10,0,1,6.576,6.648,6.576,6.648,6.576,6.648,6.576,6.648,6.576,6.648
msp432,Stateful,cifar10,0,2,0,0,0,0,0,0,0,0,0,0
msp432,Stateful,cifar10,0,4,0,0,0,0,0,0,0,0,0,0
msp432,Baseline,kws,0,0,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485
msp432,JAPARI,kws,0,1,1.755,1.755,1.755,1.755,1.755,1.755,1.755,1.755,1.755,1.755
msp432,JAPARI,kws,0,2,0,0,0,0,0,0,0,0,0,0
msp432,JAPARI,kws,0,4,0,0,0,0,0,0,0,0,0,0
msp432,HAWAII,kws,0,1,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634
msp432,HAWAII,kws,0,2,0,0,0,0,0,0,0,0,0,0
msp432,HAWAII,kws,0,4,0,0,0,0,0,0,0,0,0,0
msp432,Stateful,kws,0,1,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487
msp432,Stateful,kws,0,2,0,0,0,0,0,0,0,0,0,0
msp432,Stateful,kws,0,4,0,0,0,0,0,0,0,0,0,0
msp432,HAWAII,mnist,8,1,0,0,0,0,0,0,0,0,0,0
msp432,JAPARI,mnist,8,1,0,0,0,0,0,0,0,0,0,0
msp432,Stateful,mnist,8,1,0,0,0,0,0,0,0,0,0,0
msp432,HAWAII,mnist,4,1,0,0,0,0,0,0,0,0,0,0
msp432,JAPARI,mnist,4,1,0,0,0,0,0,0,0,0,0,0
msp432,Stateful,mnist,4,1,0,0,0,0,0,0,0,0,0,0
msp432,HAWAII,cifar10,8,1,0,0,0,0,0,0,0,0,0,0
msp432,JAPARI,cifar10,8,1,0,0,0,0,0,0,0,0,0,0
msp432,Stateful,cifar10,8,1,0,0,0,0,0,0,0,0,0,0
msp432,HAWAII,cifar10,4,1,230.236,229.957,230.204,229.903,230.129,229.845,230.109,230.143,230.127,230.424
msp432,JAPARI,cifar10,4,1,73.086,72.86,73.504,73.09,73.135,72.848,73.433,73.206,73.167,73.176
msp432,Stateful,cifar10,4,1,47.773,47.921,47.774,47.774,47.772,47.832,47.816,47.766,47.774,47.771
msp432,HAWAII,kws,8,1,0,0,0,0,0,0,0,0,0,0
msp432,JAPARI,kws,8,1,0,0,0,0,0,0,0,0,0,0
msp432,Stateful,kws,8,1,0,0,0,0,0,0,0,0,0,0
msp432,HAWAII,kws,4,1,4.184,4.497,4.243,4.301,4.18,4.239,4.361,4.184,4.552,4.361
msp432,JAPARI,kws,4,1,14.174,14.185,14.245,14.211,13.631,13.714,13.95,13.716,13.832,13.315
msp432,Stateful,kws,4,1,3.403,3.287,3.033,3.338,3.464,3.286,3.091,3.338,3.402,3.077
